女,女1,臺北鯨華,67,0,42,144,4,1,68,25,66,16,139,12,114,47
女,女1,高雄台電,75,3,42,134,9,1,73,33,66,22,98,13,103,52
男,男1,臺中太陽神,57,0,37,81,5,1,59,27,67,6,68,13,77,43
男,男1,屏東台電,75,3,46,77,8,1,73,25,52,9,56,18,65,55
男,男2,conti,54,0,27,77,4,3,55,17,67,6,56,6,65,34
男,男2,桃園臺灣產險,76,3,41,76,9,3,75,9,48,7,49,5,61,53
男,男3,屏東台電,75,3,46,80,4,4,72,20,50,4,56,6,64,54
男,男3,conti,58,0,34,77,7,3,60,20,67,4,54,0,62,44
男,男4,桃園臺灣產險,59,0,29,68,6,5,60,30,57,3,39,1,60,40
男,男4,臺中太陽神,75,3,43,75,5,5,72,20,48,10,42,2,67,53
女,女2,高雄台電,56,0,36,117,7,0,58,26,64,9,101,0,100,43
女,女2,臺北鯨華,75,3,52,133,6,0,73,19,54,6,104,0,101,58
男,男5,conti,71,1,46,118,6,2,72,42,83,4,56,1,98,54
男,男5,連莊,97,3,59,98,14,3,96,35,64,3,64,5,83,76
男,男6,雲林Mizuno,95,1,51,109,9,4,96,41,83,8,54,3,95,64
男,男6,臺中太陽神,103,3,56,93,8,4,102,40,78,0,57,0,80,68
女,女3,愛山林,49,0,30,104,0,5,51,18,67,2,79,0,90,35
女,女3,新北中纖,75,3,33,92,14,5,73,18,50,4,73,0,79,52
男,男7,連莊,118,2,74,130,9,3,118,66,99,7,69,37,114,86
男,男7,雲林Mizuno,115,3,77,141,10,2,116,61,106,14,73,29,121,89
男,男8,臺中太陽神,98,3,61,111,7,3,96,42,76,11,76,32,94,71
男,男8,conti,86,1,55,120,7,4,87,47,87,19,63,31,105,66
女,女4,新北中纖,103,3,69,154,7,3,103,34,72,24,128,31,118,79
女,女4,愛山林,79,1,53,174,6,3,80,42,94,30,144,26,138,62
男,男9,桃園臺灣產險,63,0,42,80,8,0,65,32,64,4,62,7,69,50
男,男9,連莊,75,3,47,89,6,0,73,29,54,9,41,4,67,53
女,女5,愛山林,70,1,43,151,4,2,71,34,92,29,110,20,125,49
女,女5,極速超跑,98,3,56,140,9,9,97,44,69,41,108,27,121,74
女,女6,新北中纖,107,3,60,210,11,4,106,59,105,54,179,29,167,75
女,女6,臺北鯨華,113,2,71,230,9,5,114,55,97,67,181,33,179,85
男,男10,連莊,77,3,44,74,7,5,75,30,56,10,42,19,65,56
男,男10,桃園臺灣產險,59,0,32,80,5,4,60,45,63,5,40,17,66,41
女,女7,極速超跑,102,3,63,200,8,7,100,59,89,70,152,47,161,78
女,女7,新北中纖,99,1,53,177,10,3,100,50,93,46,153,29,140,66
女,女8,臺北鯨華,75,3,47,129,4,7,73,32,46,46,91,23,92,58
女,女8,愛山林,48,0,28,103,2,1,50,31,66,31,88,19,82,31
男,男11,雲林Mizuno,62,0,35,80,6,2,62,28,66,4,41,19,69,43
男,男11,臺中太陽神,79,3,36,71,9,4,78,34,51,3,35,23,63,49
女,女9,極速超跑,83,1,52,152,7,1,84,39,90,27,110,33,135,60
女,女9,臺北鯨華,98,3,52,156,10,3,96,44,78,25,114,31,122,65
女,女10,新北中纖,76,3,44,123,9,3,75,35,58,28,107,26,99,56
女,女10,愛山林,61,0,43,142,0,4,62,35,72,24,118,20,115,47
女,女11,愛山林,59,0,33,109,8,2,60,36,68,19,83,21,82,43
女,女11,極速超跑,75,3,44,105,10,5,73,25,54,26,81,23,84,59
女,女12,臺北鯨華,100,3,58,169,11,3,99,33,77,50,126,25,141,72
女,女12,新北中纖,83,1,48,161,8,3,84,45,93,51,126,23,129,59
男,男12,桃園臺灣產險,107,3,54,124,16,7,107,49,91,18,57,29,96,77
男,男12,雲林Mizuno,104,2,47,120,12,4,104,53,90,15,66,20,101,63
女,女13,極速超跑,76,3,40,94,6,9,75,16,50,18,84,19,79,55
女,女13,新北中纖,60,0,37,115,5,2,61,34,66,8,79,16,91,44
男,男13,臺中太陽神,99,3,58,118,12,5,98,26,74,6,75,28,97,75
男,男13,雲林Mizuno,84,1,41,112,11,2,85,28,77,6,72,28,97,54
男,男14,桃園臺灣產險,62,0,31,76,9,0,63,26,61,3,37,21,62,40
男,男14,屏東台電,75,3,39,76,3,5,74,29,49,4,56,21,64,47
女,女14,高雄台電,75,3,45,111,6,2,72,25,56,25,92,36,88,53
女,女14,極速超跑,61,0,37,109,5,0,61,18,68,17,85,22,97,42
男,男15,雲林Mizuno,66,0,39,78,12,2,67,30,63,7,32,32,71,53
男,男15,連莊,75,3,49,81,8,5,73,42,63,5,39,31,71,62
男,男16,conti,99,2,57,123,8,4,99,38,91,9,69,42,106,69
男,男16,桃園臺灣產險,106,3,66,129,16,4,106,48,87,19,76,61,118,86
男,男17,雲林Mizuno,101,2,56,112,11,2,101,43,93,8,44,44,104,69
男,男17,連莊,113,3,65,109,8,4,113,60,84,6,56,45,91,77
男,男18,臺中太陽神,75,3,36,72,13,4,74,27,43,8,38,30,58,53
男,男18,conti,53,0,31,71,5,1,56,28,59,3,39,16,61,37
男,男19,conti,78,1,46,109,8,2,79,45,83,10,54,32,92,56
男,男19,雲林Mizuno,96,3,49,95,11,2,95,34,62,15,53,36,83,62
男,男20,連莊,94,3,54,105,9,2,94,37,71,7,54,38,83,65
男,男20,臺中太陽神,88,1,50,104,9,3,89,37,77,13,53,32,94,62
女,女17,高雄台電,68,0,45,125,7,1,67,41,67,15,33,24,92,53
