男,1,臺中長力,120,3,71,144,10,2,114,43,88,39,157,43,116,83
男,1,桃園臺產,104,2,58,157,8,4,98,59,106,39,158,50,124,70
女,1,極速超跑,50,0,35,126,8,1,52,29,71,37,162,17,85,44
女,1,臺北鯨華,75,3,37,119,2,6,73,23,48,30,159,8,77,45
女,2,台電女排,75,3,43,115,13,1,73,26,49,43,148,18,87,57
女,2,中國人纖,52,0,32,136,8,3,49,39,69,38,163,12,93,43
男,2,台電男排,75,3,44,75,9,4,72,31,51,13,72,23,70,57
男,2,雲林Mizuno,57,0,37,79,5,1,59,29,66,12,98,11,61,43
女,3,愛山林,53,0,32,112,3,2,53,29,69,28,160,18,82,37
女,3,台電女排,76,3,43,117,7,4,75,22,49,29,123,18,96,54
女,4,愛山林,53,0,32,112,3,2,53,29,69,28,160,18,82,37
女,4,台電女排,76,3,43,117,7,4,75,22,49,29,123,18,96,54
男,3,conti,59,0,35,83,6,3,58,38,62,16,86,23,69,43
男,3,台電男排,77,3,55,82,5,3,74,37,54,21,75,38,73,63
男,4,雲林Mizuno,67,0,40,89,5,2,67,23,62,16,84,23,79,47
男,4,臺中長力,75,3,44,85,9,2,69,25,60,18,90,21,67,55
男,5,臺中長力,109,3,63,122,17,2,105,2,95,0,65,3,121,82
男,5,conti,100,2,57,127,7,4,101,2,103,0,105,2,117,68
男,6,雲林Mizuno,112,3,47,112,16,2,108,7,83,2,71,8,104,65
男,6,桃園臺產,98,2,60,143,8,3,99,2,104,1,79,1,130,71
女,5,極速超跑,96,3,50,135,11,3,95,0,74,2,99,1,133,64
女,5,愛山林,81,1,38,130,5,4,80,1,82,2,118,1,125,47
女,6,中國人纖,63,0,38,130,3,3,64,0,72,2,102,1,124,44
女,6,臺北鯨華,75,3,38,121,6,1,74,0,55,0,111,0,116,45
女,7,臺北鯨華,106,3,61,189,10,1,104,1,104,9,175,8,183,72
女,7,極速超跑,108,2,70,204,11,4,109,1,100,9,165,7,196,85
女,8,愛山林,93,1,50,168,5,12,94,1,91,2,122,1,158,67
女,8,中國人纖,98,3,47,130,12,5,97,4,82,6,122,5,126,64
男,7,桃園臺產,58,0,40,101,7,0,60,1,64,3,84,4,101,47
男,7,臺中長力,75,3,40,88,6,2,72,5,50,3,76,6,83,48
男,8,conti,107,2,64,148,7,8,105,7,89,5,92,6,142,79
男,8,雲林Mizuno,105,3,61,126,11,3,100,1,96,11,105,8,118,75
女,9,臺北鯨華,117,3,66,201,18,7,109,43,94,41,174,71,197,91
女,9,愛山林,100,2,60,203,10,3,90,46,110,19,195,65,198,73
女,10,台電女排,75,3,47,105,1,4,74,21,40,29,99,43,95,52
女,10,極速超跑,45,0,27,106,6,2,46,24,70,8,88,35,105,35
男,9,桃園臺產,63,0,40,105,7,1,63,26,69,12,77,39,101,48
男,9,conti,78,3,35,84,11,3,74,31,55,13,82,49,79,49
男,10,台電男排,96,3,55,112,10,6,93,33,63,19,117,58,106,71
男,10,臺中長力,80,1,50,116,9,0,80,37,86,12,95,46,111,59
女,11,愛山林,87,1,58,176,5,3,88,30,89,31,170,57,170,66
女,11,臺北鯨華,98,3,61,167,13,3,97,28,82,27,143,50,155,77
女,12,極速超跑,64,0,32,122,8,6,64,14,62,10,121,29,117,46
女,12,台電女排,75,3,49,129,7,3,74,32,61,23,115,56,119,59
男,11,conti,94,3,45,106,7,5,90,42,72,7,90,50,99,57
男,11,桃園臺產,84,1,49,108,11,3,82,40,82,12,75,54,103,63
男,12,臺中長力,88,1,54,111,5,4,88,36,86,7,101,46,105,63
男,12,台電男排,97,3,58,114,13,5,94,29,76,9,97,39,111,76
男,13,台電男排,97,3,53,114,15,2,96,15,72,0,100,15,96,70
男,13,桃園臺產,86,1,51,116,7,3,80,8,72,3,96,4,95,61
男,14,臺中長力,97,3,58,121,7,3,96,6,73,3,99,10,100,68
男,14,conti,87,1,56,131,6,2,88,8,84,4,96,11,105,64
女,13,愛山林,60,0,31,130,3,2,62,7,66,8,149,2,92,36
女,13,台電女排,75,3,45,125,7,2,73,6,59,18,112,16,104,54
女,14,臺北鯨華,66,0,44,133,8,2,68,6,74,10,123,10,105,54
女,14,極速超跑,77,3,46,129,15,0,74,3,62,5,126,3,94,61
女,15,極速超跑,90,3,51,128,11,8,88,14,77,5,143,15,107,70
女,15,愛山林,79,1,40,140,5,5,80,4,75,11,163,9,105,50
女,16,台電女排,75,3,40,123,5,2,72,7,54,14,119,7,98,47
女,16,中國人纖,58,0,36,131,5,0,60,7,70,10,141,7,97,41
男,15,雲林Mizuno,99,3,66,151,7,4,96,6,104,8,129,8,120,77
男,15,臺中長力,110,2,64,133,11,1,105,17,84,3,113,15,106,76
男,16,桃園臺產,60,0,36,101,9,1,62,5,65,3,85,1,79,46
男,16,台電男排,75,3,45,90,6,4,69,4,47,5,75,5,73,55
女,17,極速超跑,46,0,24,107,4,4,47,2,68,0,102,2,87,32
女,17,中國人纖,75,3,43,109,9,2,71,2,42,6,96,8,101,54
女,18,臺北鯨華,99,3,67,186,8,3,96,5,82,14,191,19,146,78
女,18,台電女排,89,1,58,183,9,2,87,19,90,5,210,25,158,69
男,17,conti,52,0,34,90,4,4,54,14,68,2,80,18,80,42
